Label,PaymasterName,PaymasterAddress,EntryPoint,Chain,FromBlock,ToBlock,BlockNumber,TxHash,UserOpHash,Sender,ActualGasUsed,APNTS_Cost,XPNTS_Cost,CreditType,FilterNotes
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147787131,0x943a45432dd23c84fde59db0e7633e4fcf7a149221b6a55ce9d9909aee4118e7,0x1e0ed56a417c08ac0a5a59d33fe0428d0c5414880609238384448a2082976452,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286057,11267613903751014216,11267613903751014216,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147787136,0x2e61201f2816742cf88280302f1b003ed6663d01c526a0b64881f112c60e4f65,0x48c8294bb15b6eb5398f44fcba9f866dafd41255de6cd35005b7bce9f807c7d0,0xe8eaad6a4802300f33e53c40e65863cccda6898b,287732,11635871894203506054,11635871894203506054,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147787238,0x6a550203d6627867629cc807768d6ff1069266fb6aaa22f703fb094aba830f9f,0x87dc8266f460fd2d9798abe64f9b9cab88dc6be09c0346749e46432f0c871cb0,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286057,11267616878382999043,11267616878382999043,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147787241,0x83c17ca590f5c0ce6673a3575825cf9fbceb2ed56dc988e4f2350d7a2301d199,0xf1e3f6c63dc97cb32ef9e3b2c4d6eaabce711a420a9bb864402bdad3d1291867,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,11267617171339179368,11267617171339179368,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147787245,0xcb81a2a655f6753e4859c75d53c1e0edaca2dfc784432d706bbe3df2d6940935,0x3574dabf835b4b02f58de15615af555c54b636951b6170c6d6440591319ed51b,0xe8eaad6a4802300f33e53c40e65863cccda6898b,287732,11635875338400563360,11635875338400563360,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147740410,0xa3793ab8560e86dbd27ee171040437630715ac0c6571478c13e74eb2b431ec85,0x26c83517ec2e525e0c8f687bf8a300e81fae50d2fc6681703afe69845bc763d4,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,11620725210038014367,11620725210038014367,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147740414,0x5442df21a9638e0f9cc6edb23f2e462f91238a48645356d89060b60b3b34d3e9,0x9e527492a3349e3956672687c0164050649704615bc5a64d8c3e640b1dec1dbb,0xe8eaad6a4802300f33e53c40e65863cccda6898b,287761,12000523652341493363,12000523652341493363,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147740520,0x146da85462d6a0bf02f26055749c520e7936dc33492434003e3e5c86c67364f6,0xb462aa8754b4015808bc272598e05e47718be55141301f9f2cead70e36f38109,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,11620724396590184584,11620724396590184584,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147740525,0x12e18cd7581ea72f6a002ee6f1b24b029e76f5d5801b4b8fb26b79f1ddb550a8,0x6a27f3ef8bdc98f6c6e019c0d756f86004f3fc03a6e02c20919245bb9b68e685,0xe8eaad6a4802300f33e53c40e65863cccda6898b,287761,12000522692303068834,12000522692303068834,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147740766,0x02860dedb4bf094b5ef8ab2ed217bdaf39b8562a45c9b8303d0e12202633faf8,0x7dcd5edb3998cfdac3838c087b9de9fb390430798e5326e14f85131ec9f7f8ae,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,11620720980109299495,11620720980109299495,credit,strict disabled
