Label,TokenName,TokenAddress,Chain,FromBlock,ToBlock,BlockNumber,TxHash,From,To,GasUsed,EffectiveGasPriceWei,L2FeeWei,L1FeeWei,BlobFeeWei,TotalFeeWei
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223184,0x0461940012e6c27c072cf229a262e3f9f9e10741f7a8cdff858a09b557a01f95,0xb75471e21d96e6883a2372956cc5867a9efc6010,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000346,40248921310,1632392954,0,41881314264
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223183,0xa3a3476f15cb295ab8284ed381587c6f312adc08d611766f497ca528f52b98e0,0xbaae6fb74598d9a3f35a474e8ed3808956521cc1,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40247,1000346,40260925462,1632392954,0,41893318416
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223183,0xadf4d648f953c5cb86187e9924737c38b60d120899b345f908828c4861b06120,0x1a63bf00bbeeb649beec54522b43c51c8ba6768f,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000346,40248921310,1632392954,0,41881314264
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223183,0xb79862cea6b77ad8eb604a17ba89d4b369cdf8d7649ef03585e96c45651dd638,0x6692e4b924ad2377e757d05b9c6589ee8605d4bf,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40247,1000346,40260925462,1632392954,0,41893318416
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223183,0xe2abd00434cb62a22cbaa86807d1a15bc4276c84c781e2a56475526e58e0cc33,0x30fbda9078d1dde0c88dc0fafa7835236665f15a,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40247,1000346,40260925462,1632392954,0,41893318416
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223183,0xd04654325703f8ddaaf29e3f6dd688256e2eb4eddf5b567fd560aab773af3804,0xfbb377d5b94fc547d1cf4762c442b11e0afae031,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000346,40248921310,1632392954,0,41881314264
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223183,0x87be641dfd0c81ef95b1b1d2c4e5f45a69426c625a85bdb1eb7d5f9e48536ed7,0x083c6f09129b2d646dbbf580f14bf05927b1fbff,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000346,40248921310,1632392954,0,41881314264
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223183,0x3f23d5186fa486091ce4be29b9ecdac4da703b517c54f6860e628013e24f707e,0x538de91871ffb3681dab111e3f5eda32329f5f83,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000346,40248921310,1632392954,0,41881314264
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223183,0x94bf1ab0935c566511c66a2b424137c786e12c54a7cc614c79e4af53d6dc8c32,0x40871a873d1a7bbca10af634ec36d1be12247b66,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000346,40248921310,1632392954,0,41881314264
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223183,0x8732e23118da0b49f8a7eee898a69e5e1f0876ade3134e105b79879e57182daf,0x1db04617468b5cb8f85128f2e5eb6dc689499e40,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000346,40248921310,1632392954,0,41881314264
